subject,signal,condition,latency_s,peak_amplitude,duration_s,slope,decay,auc
S2,EDA,stress,1892.25,0.2528479203084859,0.25,,,0.06743620157478547
S2,EDA,baseline,,0.10704414919819993,13.75,,,1.4788562780052907
S2,BVP,stress,0.0,693.2825410136304,0.25,7.076568201734027,1305.0024301433043,57190.38214220162
S2,TEMP,stress,,-0.34295000000000186,-0.25,,,0.0
S3,EDA,stress,,-1.5045514760244694,-0.25,,,0.0
S3,EDA,baseline,3.0,0.7421744659707654,2.25,1.4843489319415308,0.21204984742021868,2.1678840012176432
S3,BVP,stress,70.609375,466.06265168677135,0.171875,0.5367646159430154,3314.2233008837075,18337.88459937741
S3,TEMP,stress,,-0.3836833333333338,-0.25,,,0.0
S4,EDA,stress,486.5,2.3154926977684864,619.5,0.006053575680440487,0.0044464574129015584,1149.3431813059985
S4,EDA,baseline,,0.41002690457542723,10.25,,,3.963089641901713
S4,BVP,stress,49.703125,1029.667368344787,0.234375,0.9550399497698059,1013.8263319087134,80358.01436481079
S4,TEMP,stress,,0.42064999999999486,660.25,,0.0009560227272727156,263.420806249997
